group,mean_delta,std_delta,sem,ci_low,ci_high,t_stat,p_value,cohens_d
overall,-0.009000000000000001,0.15439621418536745,0.010917461004000394,-0.030528758673451895,0.012528758673451892,-0.8243674968660025,0.41071775698122226,-0.058291584722373044
skill 1,-0.0050000000000000044,0.05523841101337055,0.008733959656539033,-0.022666100893248893,0.012666100893248884,-0.5724780279076,0.5702839158682147,-0.09051672392947267
skill 2,-0.015000000000000003,0.1888562063228706,0.029860788111948193,-0.07539914497917927,0.045399144979179254,-0.5023310149673529,0.6182593595867907,-0.0794255073320484
skill 3,-0.039999999999999994,0.1515729493490147,0.02396578758061112,-0.08847538093083188,0.008475380930831888,-1.6690459207925603,0.10311785419190198,-0.26389933145587374
skill 4,0.01499999999999999,0.14597154622628442,0.023080127982580755,-0.031683965303652466,0.06168396530365245,0.6499097410257398,0.5195605680331583,0.1027597527585757
skill 5,0.0,0.19215378456610455,0.030382181012509994,-0.06145376166491725,0.06145376166491725,0.0,1.0,0.0
Entw.,-0.01600000000000003,0.1624807680927192,0.03249615361854384,-0.08306876471175599,0.051068764711755935,-0.4923659639173319,0.6269347060620415,-0.09847319278346639
HR,0.007999999999999972,0.14696938456699057,0.029393876913398113,-0.05266598028223359,0.06866598028223353,0.27216552697590796,0.7878225296366509,0.05443310539518159
Prod. Own.,0.016000000000000014,0.09865765724632504,0.019731531449265007,-0.02472387937685616,0.05672387937685619,0.8108848540793832,0.4254004502870204,0.16217697081587662
Proj. M,0.008000000000000007,0.1869046102516825,0.0373809220503365,-0.0691504312520188,0.08515043125201882,0.21401291250192667,0.832344807136922,0.042802582500385336
SCRUM,-0.023999999999999987,0.2107130750570547,0.042142615011410936,-0.11097808250529462,0.06297808250529463,-0.5694947974514993,0.574312599989195,-0.11389895949029986
Sec. Ar.,0.0,0.0,0.0,,,,,
Sr. Lead,-0.072,0.1720465053408525,0.0344093010681705,-0.14301730698122272,-0.0009826930187772503,-2.092457497388747,0.04714963509450209,-0.41849149947774944
Team L.,0.008000000000000007,0.15790292376436024,0.03158058475287205,-0.05717912344682455,0.07317912344682456,0.2533201985524495,0.8021781620003001,0.050664039710489904
