group,mean_delta,std_delta,sem,ci_low,ci_high,t_stat,p_value,cohens_d
overall,-0.008000000000000009,0.1791549117720759,0.01266816529969125,-0.03298107146638914,0.016981071466389122,-0.6315042321238882,0.5284356097260114,-0.04465409248828049
skill 1,-0.004999999999999999,0.11535897150933827,0.018239854925199046,-0.0418935889399879,0.03189358893998791,-0.27412498731512996,0.7854353297923938,-0.04334296617402879
skill 2,-0.024999999999999977,0.18222274338053465,0.028811945528343007,-0.08327766060877313,0.03327766060877317,-0.867695656838129,0.39086885102921054,-0.13719472957221718
skill 3,-0.034999999999999996,0.14944341180973264,0.023629078131263043,-0.08279432178494495,0.012794321784944954,-1.4812257933030561,0.14658123616225274,-0.234202361791372
skill 4,0.039999999999999945,0.2447395266348202,0.038696716881873795,-0.03827149787219942,0.11827149787219932,1.0336794235569018,0.3076536043679724,0.16343906744448594
skill 5,-0.015000000000000013,0.17766289022782056,0.028090969440419198,-0.07181934882216606,0.04181934882216603,-0.533979435341843,0.5963865508083579,-0.08442956196854179
Entw.,-0.06400000000000004,0.14966629547095775,0.02993325909419155,-0.12577921038934098,-0.0022207896106591143,-2.1380899352993947,0.042896003092067994,-0.427617987059879
HR,0.064,0.20591260281973994,0.041182520563947986,-0.02099654495614879,0.14899654495614878,1.554057379771623,0.133259726738112,0.3108114759543246
Prod. Own.,-0.04000000000000004,0.23804761428476154,0.04760952285695231,-0.13826122574426047,0.05826122574426038,-0.8401680504168072,0.409106385905297,-0.16803361008336146
Proj. M,0.016000000000000014,0.05537749241945388,0.011075498483890776,-0.006858705390215526,0.038858705390215555,1.4446302370292303,0.16149190247285355,0.2889260474058461
SCRUM,-0.01600000000000003,0.16248076809271933,0.03249615361854387,-0.08306876471175605,0.05106876471175599,-0.4923659639173315,0.6269347060620417,-0.0984731927834663
Sec. Ar.,-0.08000000000000002,0.19999999999999993,0.03999999999999999,-0.16255594246512095,0.0025559424651209334,-2.000000000000001,0.05693984993659149,-0.40000000000000024
Sr. Lead,0.06400000000000006,0.17048949136725905,0.03409789827345181,-0.006374603201115839,0.13437460320111594,1.8769485288138608,0.07273447406175171,0.37538970576277214
Team L.,-0.008000000000000007,0.1579029237643602,0.03158058475287204,-0.07317912344682453,0.05717912344682452,-0.2533201985524496,0.8021781620003001,-0.05066403971048992
