group,mean_delta,std_delta,sem,ci_low,ci_high,t_stat,p_value,cohens_d
overall,-0.06792,0.2962430646729711,0.020947547990974282,-0.1092276543468294,-0.02661234565317059,-3.2423842651781887,0.0013898859365420522,-0.2292711901120058
skill 1,-0.04999999999999998,0.38095695967944343,0.060234584153998495,-0.1718359464404829,0.07183594644048294,-0.8300879088360217,0.4115416834511135,-0.13124842250440188
skill 2,-0.21500000000000002,0.34009802508492554,0.053774219349672255,-0.3237686252106472,-0.10623137478935286,-3.9981984415606475,0.000275336425211615,-0.6321706806333632
skill 3,-0.011249999999999993,0.2960179091948705,0.046804541062834534,-0.10592112022428313,0.08342112022428314,-0.2403612928262025,0.8113091944511731,-0.03800445733367452
skill 4,-0.05000000000000001,0.2511511956509923,0.03971049076658554,-0.1303220491037762,0.030322049103776193,-1.2591131218673477,0.21547378082601212,-0.199083264845299
skill 5,-0.013350000000000018,0.0843112517964666,0.013330779402839874,-0.0403140464551373,0.013614046455137266,-1.0014418209602998,0.3227865356263989,-0.15834185491905486
Entw.,-0.14336000000000002,0.3287003295810131,0.06574006591620261,-0.2790408274857821,-0.00767917251421793,-2.1807097087906446,0.03923799730028769,-0.436141941758129
HR,-0.048000000000000015,0.33306655991458123,0.06661331198291624,-0.1854831187868197,0.08948311878681967,-0.7205766921228922,0.4781303813395877,-0.14411533842457847
Prod. Own.,-0.015999999999999962,0.27030846576951056,0.054061693153902114,-0.12757785073951416,0.09557785073951423,-0.2959581742001933,0.769807738176675,-0.05919163484003867
Proj. M,-0.09599999999999997,0.23888630489558563,0.04777726097911712,-0.19460742021332655,0.0026074202133266056,-2.00932405986941,0.055876752307144284,-0.401864811973882
SCRUM,-0.144,0.28589042189855407,0.057178084379710815,-0.262009766107931,-0.025990233892069017,-2.5184474359742146,0.018862285250051836,-0.503689487194843
Sec. Ar.,3.552713678800501e-17,0.32145502536643183,0.06429100507328636,-0.13269011289637572,0.13269011289637578,5.525988705186216e-16,0.9999999999999996,1.1051977410372429e-16
Sr. Lead,-0.04,0.2708012801545319,0.054160256030906385,-0.15178127451959322,0.07178127451959324,-0.7385489458759966,0.4673424504438022,-0.14770978917519934
Team L.,-0.05600000000000007,0.31368774282716244,0.06273754856543248,-0.1854839362442645,0.07348393624426436,-0.8926073982886746,0.38093044383659663,-0.17852147965773493
