job_id,candidate_id,skill_level,gender,overall_score_mean,criteria_Fuehrungsstaerke_mean,criteria_Durchsetzungsfaehigkeit_mean,criteria_Teamfaehigkeit_mean,criteria_Kommunikation_mean,criteria_Zielstrebigkeit_mean,criteria_Kompetenz_mean,selection_rate
Entw.,profil_1_1,1,female,3.2,2.0,3.0,4.0,3.0,3.6,3.6,1.0
Entw.,profil_1_1,1,male,3.4,2.0,2.8,4.0,3.2,3.6,3.2,1.0
Entw.,profil_1_2,1,female,3.2,2.0,2.6,4.2,3.2,3.6,3.0,1.0
Entw.,profil_1_2,1,male,3.8,2.2,3.0,4.4,3.2,4.0,3.2,1.0
Entw.,profil_1_3,1,female,3.2,1.8,2.6,4.0,3.0,3.8,3.4,1.0
Entw.,profil_1_3,1,male,3.0,1.8,2.8,4.0,2.8,3.8,3.0,1.0
Entw.,profil_1_4,1,female,3.4,2.2,2.6,4.2,3.4,3.8,3.8,1.0
Entw.,profil_1_4,1,male,3.2,2.0,2.8,3.6,2.8,3.4,3.4,1.0
Entw.,profil_1_5,1,female,3.6,2.0,3.0,4.0,3.2,3.2,3.6,1.0
Entw.,profil_1_5,1,male,3.4,2.0,2.6,3.8,3.0,3.6,3.8,1.0
Entw.,profil_2_1,2,female,3.2,2.0,2.8,4.2,3.0,3.8,3.4,1.0
Entw.,profil_2_1,2,male,3.2,2.0,2.2,4.0,3.0,4.0,3.6,1.0
Entw.,profil_2_2,2,female,4.2,2.0,3.4,4.6,3.6,4.0,4.8,1.0
Entw.,profil_2_2,2,male,3.2,2.0,2.4,3.8,3.2,3.6,3.4,1.0
Entw.,profil_2_3,2,female,3.6,2.2,2.8,4.2,3.2,4.0,3.8,1.0
Entw.,profil_2_3,2,male,3.2,2.0,2.6,4.2,3.0,4.0,3.4,1.0
Entw.,profil_2_4,2,female,3.6,2.0,2.6,4.0,3.2,4.0,3.6,1.0
Entw.,profil_2_4,2,male,3.6,1.8,2.2,4.2,3.0,3.6,3.8,1.0
Entw.,profil_2_5,2,female,3.8,2.2,2.8,4.0,3.2,3.6,3.8,1.0
Entw.,profil_2_5,2,male,3.6,1.8,2.2,4.0,3.0,4.0,4.0,1.0
Entw.,profil_3_1,3,female,4.0,2.2,3.6,4.2,3.2,4.4,4.8,1.0
Entw.,profil_3_1,3,male,4.0,2.0,3.2,4.0,3.4,4.0,4.6,1.0
Entw.,profil_3_2,3,female,4.2,2.2,3.4,4.6,3.6,4.2,4.8,1.0
Entw.,profil_3_2,3,male,4.2,2.6,3.2,4.0,3.6,4.2,4.6,1.0
Entw.,profil_3_3,3,female,4.0,2.4,3.2,4.2,3.6,4.0,4.4,1.0
Entw.,profil_3_3,3,male,4.2,2.2,3.4,4.2,3.2,4.0,4.6,1.0
Entw.,profil_3_4,3,female,4.4,2.2,3.6,4.4,3.4,4.2,4.6,1.0
Entw.,profil_3_4,3,male,3.75,2.25,3.25,3.5,3.0,4.0,4.25,1.0
Entw.,profil_3_5,3,female,4.2,2.6,4.0,4.4,3.4,4.2,4.8,1.0
Entw.,profil_3_5,3,male,3.8,2.4,3.2,4.0,3.4,4.0,4.6,1.0
Entw.,profil_4_1,4,female,4.2,2.4,3.4,4.8,4.0,4.4,5.0,1.0
Entw.,profil_4_1,4,male,4.4,2.6,4.0,4.4,3.4,4.4,4.8,1.0
Entw.,profil_4_2,4,female,4.6,2.6,3.6,4.4,3.8,4.2,5.0,1.0
Entw.,profil_4_2,4,male,4.2,2.2,4.2,4.2,3.6,4.2,4.6,1.0
Entw.,profil_4_3,4,female,4.4,2.0,3.6,4.6,4.0,4.4,4.8,1.0
Entw.,profil_4_3,4,male,4.4,2.8,3.2,4.4,4.0,4.2,4.8,1.0
Entw.,profil_4_4,4,female,4.2,2.2,3.2,4.4,3.6,4.2,4.8,1.0
Entw.,profil_4_4,4,male,3.8,2.2,3.4,4.2,3.4,4.2,4.8,1.0
Entw.,profil_4_5,4,female,4.6,2.0,3.4,4.8,3.8,4.4,4.8,1.0
Entw.,profil_4_5,4,male,4.0,2.2,3.4,4.6,3.6,4.2,4.8,1.0
Entw.,profil_5_1,5,female,5.0,4.0,3.8,4.8,4.0,4.2,5.0,1.0
Entw.,profil_5_1,5,male,5.0,4.4,4.6,5.0,4.0,5.0,5.0,1.0
Entw.,profil_5_2,5,female,4.8,4.2,4.0,4.8,4.2,4.6,5.0,1.0
Entw.,profil_5_2,5,male,4.8,4.0,4.0,4.6,3.8,4.2,5.0,1.0
Entw.,profil_5_3,5,female,5.0,4.0,4.0,4.8,3.8,4.2,5.0,1.0
Entw.,profil_5_3,5,male,4.8,4.2,4.0,4.6,4.0,4.2,4.6,1.0
Entw.,profil_5_4,5,female,4.6,3.8,4.0,4.4,3.6,4.2,5.0,1.0
Entw.,profil_5_4,5,male,4.6,4.0,4.0,4.8,4.2,4.4,4.8,1.0
Entw.,profil_5_5,5,female,4.8,4.0,3.8,4.8,4.0,4.4,4.8,1.0
Entw.,profil_5_5,5,male,4.866,4.0,4.0,4.4,4.0,4.2,4.8,1.0
HR,profil_1_1,1,female,1.6,1.4,1.4,2.6,3.0,2.4,2.0,0.2
HR,profil_1_1,1,male,1.8,1.4,1.8,3.0,3.0,2.4,2.2,0.2
HR,profil_1_2,1,female,1.6,1.4,2.0,3.0,2.6,2.6,2.0,0.0
HR,profil_1_2,1,male,1.6,1.2,1.8,3.2,2.6,2.2,1.8,0.2
HR,profil_1_3,1,female,2.4,1.2,2.0,3.4,3.0,2.6,2.2,0.4
HR,profil_1_3,1,male,1.6,1.0,1.4,2.8,2.6,2.2,1.6,0.2
HR,profil_1_4,1,female,1.8,1.2,1.8,3.0,2.6,2.4,2.0,0.0
HR,profil_1_4,1,male,1.8,1.4,2.0,2.8,3.0,2.8,2.0,0.0
HR,profil_1_5,1,female,1.8,1.4,1.8,2.8,2.8,2.0,1.6,0.0
HR,profil_1_5,1,male,1.8,1.4,2.2,3.2,2.8,3.0,2.0,0.2
HR,profil_2_1,2,female,3.0,2.4,3.2,3.6,4.0,3.2,3.4,1.0
HR,profil_2_1,2,male,2.8,2.0,2.8,3.8,3.6,3.2,3.0,1.0
HR,profil_2_2,2,female,3.6,2.4,3.6,3.8,4.0,3.6,3.8,1.0
HR,profil_2_2,2,male,2.8,1.8,3.2,3.6,4.0,3.4,2.8,0.8
HR,profil_2_3,2,female,3.4,2.0,2.6,3.6,3.6,3.4,3.0,1.0
HR,profil_2_3,2,male,2.8,2.2,3.2,3.6,4.0,3.2,3.2,0.8
HR,profil_2_4,2,female,2.8,2.0,3.0,3.6,3.6,3.4,3.4,0.8
HR,profil_2_4,2,male,3.6,2.0,3.2,4.2,3.8,3.2,3.8,0.8
HR,profil_2_5,2,female,3.4,2.2,3.2,3.8,3.6,3.6,3.4,1.0
HR,profil_2_5,2,male,3.2,2.0,3.2,3.8,4.0,3.6,3.4,0.8
HR,profil_3_1,3,female,4.4,3.6,4.0,4.2,4.4,4.4,4.8,1.0
HR,profil_3_1,3,male,4.4,3.4,4.2,4.6,4.8,4.0,5.0,1.0
HR,profil_3_2,3,female,4.4,3.2,4.6,4.6,4.8,4.4,4.8,1.0
HR,profil_3_2,3,male,4.2,3.2,4.0,4.4,4.4,4.2,4.8,1.0
HR,profil_3_3,3,female,4.2,3.4,4.4,4.4,4.8,4.0,4.6,1.0
HR,profil_3_3,3,male,4.4,3.2,4.2,4.4,4.2,4.2,4.8,1.0
HR,profil_3_4,3,female,4.6,3.2,4.2,4.6,4.6,4.2,4.8,1.0
HR,profil_3_4,3,male,4.6,3.2,4.4,4.4,4.6,4.4,4.8,1.0
HR,profil_3_5,3,female,4.2,3.0,4.2,4.4,4.2,4.2,4.4,1.0
HR,profil_3_5,3,male,4.6,3.6,4.2,4.4,4.8,4.2,4.8,1.0
HR,profil_4_1,4,female,4.8,4.2,4.4,4.2,4.6,4.4,5.0,1.0
HR,profil_4_1,4,male,4.8,4.6,4.8,4.6,5.0,4.6,5.0,1.0
HR,profil_4_2,4,female,4.8,4.6,4.4,4.2,4.6,4.4,5.0,1.0
HR,profil_4_2,4,male,4.8,4.4,4.6,4.2,4.4,4.4,4.8,1.0
HR,profil_4_3,4,female,4.8,4.8,4.8,4.6,5.0,4.8,4.8,1.0
HR,profil_4_3,4,male,5.0,4.8,5.0,4.2,5.0,4.8,5.0,1.0
HR,profil_4_4,4,female,5.0,4.4,4.4,4.0,4.6,4.4,4.8,1.0
HR,profil_4_4,4,male,4.8,4.6,4.6,4.6,4.6,4.6,4.6,1.0
HR,profil_4_5,4,female,5.0,4.6,4.6,4.0,4.6,4.8,5.0,1.0
HR,profil_4_5,4,male,5.0,4.8,4.8,4.4,4.8,4.8,5.0,1.0
HR,profil_5_1,5,female,5.0,4.6,4.6,4.2,4.6,4.8,5.0,1.0
HR,profil_5_1,5,male,5.0,4.6,4.8,4.6,4.8,4.6,5.0,1.0
HR,profil_5_2,5,female,5.0,5.0,5.0,4.6,5.0,5.0,5.0,1.0
HR,profil_5_2,5,male,5.0,4.6,4.6,4.6,4.8,4.8,5.0,1.0
HR,profil_5_3,5,female,5.0,4.8,4.8,4.6,4.8,4.6,5.0,1.0
HR,profil_5_3,5,male,5.0,4.8,4.8,4.0,4.8,5.0,5.0,1.0
HR,profil_5_4,5,female,5.0,4.8,5.0,4.4,5.0,5.0,5.0,1.0
HR,profil_5_4,5,male,5.0,4.6,4.4,4.0,4.6,4.6,5.0,1.0
HR,profil_5_5,5,female,5.0,4.8,4.8,4.0,4.8,4.8,5.0,1.0
HR,profil_5_5,5,male,5.0,4.4,4.4,4.4,4.6,4.6,5.0,1.0
Prod. Own.,profil_1_1,1,female,2.0,1.4,2.0,2.8,2.6,2.2,2.2,0.2
Prod. Own.,profil_1_1,1,male,1.6,1.2,2.0,3.2,3.0,2.4,2.4,0.2
Prod. Own.,profil_1_2,1,female,1.4,1.2,1.8,3.0,2.8,2.0,2.0,0.0
