group,mean_delta,std_delta,sem,ci_low,ci_high,t_stat,p_value,cohens_d
overall,-0.017,0.09356694859482557,0.006616182384633427,-0.030046824151341057,-0.003953175848658945,-2.5694575831953728,0.01091745301040257,-0.18168808810486456
skill 1,-0.06999999999999999,0.19506737823450146,0.030842860620928975,-0.1323855741259124,-0.007614425874087581,-2.2695689890872264,0.028841146416331453,-0.3588503656200734
skill 2,0.0,0.0,0.0,,,,,
skill 3,-0.015000000000000013,0.05334935656738375,0.008435273922869743,-0.03206195197181151,0.002061951971811485,-1.7782469350914574,0.08316048921733515,-0.28116552785513027
skill 4,0.0,0.0,0.0,,,,,
skill 5,0.0,0.0,0.0,,,,,
Entw.,0.0,0.0,0.0,,,,,
HR,0.0,0.0,0.0,,,,,
Prod. Own.,0.0,0.0,0.0,,,,,
Proj. M,0.0,0.0,0.0,,,,,
SCRUM,-0.136,0.2360790827950103,0.04721581655900206,-0.23344865588221703,-0.03855134411778299,-2.880390723097016,0.008230500421671842,-0.5760781446194032
Sec. Ar.,0.0,0.0,0.0,,,,,
Sr. Lead,0.0,0.0,0.0,,,,,
Team L.,0.0,0.0,0.0,,,,,
