group,mean_delta,std_delta,sem,ci_low,ci_high,t_stat,p_value,cohens_d
overall,-0.02400000000000001,0.20106250434446082,0.014217266026431792,-0.052035830782190304,0.004035830782190282,-1.6880882692481674,0.09296080154297597,-0.11936586624268415
skill 1,-0.030000000000000027,0.24200021190921003,0.03826359319382543,-0.10739542252113113,0.047395422521131075,-0.7840350969663012,0.43775569757357546,-0.12396683359622417
skill 2,-0.039999999999999994,0.2609646797989415,0.04126213885105935,-0.12346055359533381,0.04346055359533382,-0.9694116958983826,0.3383137299266754,-0.15327744747226993
skill 3,-0.010000000000000042,0.18646509262923922,0.029482719841133532,-0.06963442972064848,0.0496344297206484,-0.33918173268560853,0.736292492636359,-0.053629340800445145
skill 4,-0.024999999999999977,0.15148834261657873,0.023952410081617016,-0.07344832238508368,0.023448322385083733,-1.0437363052324726,0.30303412280476705,-0.16502920005716665
skill 5,-0.015000000000000013,0.14597154622628447,0.023080127982580762,-0.061683965303652485,0.03168396530365246,-0.6499097410257406,0.5195605680331579,-0.10275975275857582
Entw.,-0.07200000000000002,0.22271057451320075,0.04454211490264015,-0.16393040687942922,0.01993040687942918,-1.6164477182409756,0.11906791929962791,-0.3232895436481951
HR,-0.023999999999999987,0.19425069712444615,0.03885013942488923,-0.10418274687807708,0.056182746878077096,-0.617758400749122,0.5425525687790281,-0.12355168014982441
Prod. Own.,-0.04799999999999999,0.19390719429665315,0.03878143885933063,-0.12804095587963765,0.03204095587963768,-1.2377054955105515,0.22779764563139163,-0.24754109910211036
Proj. M,1.7763568394002505e-17,0.19148542155126758,0.03829708431025351,-0.07904129722247939,0.07904129722247942,4.638360521155015e-16,0.9999999999999997,9.276721042310031e-17
SCRUM,-0.024000000000000004,0.19425069712444626,0.038850139424889255,-0.10418274687807715,0.05618274687807713,-0.6177584007491222,0.5425525687790281,-0.12355168014982443
Sec. Ar.,-0.04800000000000004,0.20231987873991356,0.04046397574798271,-0.13151354134401283,0.035513541344012745,-1.1862403313740872,0.24713846282970653,-0.23724806627481745
Sr. Lead,0.008000000000000007,0.21197484127446198,0.0423949682548924,-0.07949891400153818,0.09549891400153819,0.18870163911673182,0.851913268121057,0.03774032782334637
Team L.,0.015999999999999945,0.20752509888364504,0.041505019776729005,-0.06966215061753377,0.10166215061753366,0.38549553972194,0.7032659912928455,0.07709910794438801
