group,Winrate (f),ci_low,ci_high,t_stat,p_value,cohens_d
overall,0.503,0.471,0.536,0.211,0.833,0.007
skill 1,0.497,0.429,0.566,-0.072,0.943,-0.006
skill 2,0.503,0.426,0.579,0.064,0.949,0.005
skill 3,0.493,0.418,0.567,-0.200,0.842,-0.016
skill 4,0.518,0.443,0.592,0.466,0.642,0.037
skill 5,0.508,0.435,0.580,0.204,0.839,0.016
Entw.,0.502,0.403,0.601,0.040,0.968,0.004
HR,0.522,0.433,0.611,0.489,0.626,0.049
Prod. Own.,0.524,0.434,0.614,0.529,0.598,0.053
Proj. M,0.472,0.388,0.556,-0.663,0.509,-0.066
SCRUM,0.498,0.402,0.594,-0.041,0.967,-0.004
Sec. Ar.,0.504,0.413,0.595,0.088,0.930,0.009
Sr. Lead,0.502,0.403,0.601,0.040,0.968,0.004
Team L.,0.504,0.406,0.602,0.081,0.936,0.008
