group,Winrate (f),ci_low,ci_high,t_stat,p_value,cohens_d
overall,0.519,0.488,0.549,1.199,0.231,0.042
skill 1,0.524,0.454,0.594,0.668,0.505,0.053
skill 2,0.533,0.463,0.602,0.919,0.360,0.073
skill 3,0.491,0.421,0.562,-0.244,0.807,-0.019
skill 4,0.539,0.474,0.604,1.175,0.242,0.093
skill 5,0.508,0.438,0.577,0.213,0.832,0.017
Entw.,0.508,0.418,0.598,0.176,0.860,0.018
HR,0.570,0.496,0.644,1.876,0.064,0.188
Prod. Own.,0.568,0.486,0.650,1.652,0.102,0.165
Proj. M,0.510,0.426,0.594,0.238,0.813,0.024
SCRUM,0.488,0.394,0.582,-0.254,0.800,-0.025
Sec. Ar.,0.500,0.407,0.593,0.000,1.000,0.000
Sr. Lead,0.498,0.405,0.591,-0.043,0.966,-0.004
Team L.,0.508,0.415,0.601,0.171,0.865,0.017
